https://cloud.google.com/ 	https://cloud.google.com/?hl=ko 	https	https
Learn more 	None	learn	None
</a>	None	</a>	None
</li>	None	</li>	None
</ul>	None	</ul>	None
</div>	None	</div>	None
<div class="devsite-dropdown-menu-column">	None	<div>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-type2">	<ul class="devsite-doc-set-nav-tab-list devsite-overflow-tabs-scroll">	<ul>	<ul>
<li class="devsite-nav-item devsite-nav-item-heading">	None	<li>	None
<span class="devsite-nav-title devsite-nav-title-no-path"> 	None	<span>	None
Why Google Cloud 	None	why	None
</span>	None	</span>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/why-google-cloud/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="choosingGoogleCloud" track-metadata-position="nav" > 	None	<a>	None
Choosing Google Cloud 	None	choosing	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Reasons why people choose us 	None	reasons	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	<li class="devsite-doc-set-nav-tab-container devsite-nav-tab ">	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/security/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="trustAndSecurity" track-metadata-position="nav" > 	<a href="https://cloud.google.com/?hl=ko" class="devsite-doc-set-nav-active devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" aria-label="홈, selected" data-category="Site-Wide Custom Events" data-label="Tab: 홈" track-type="globalNav" track-name="home" style="display: none;" > 	<a>	<a>
Trust and security 	None	trust	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Keep your data secure and compliant 	홈 	keep	홈
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/open-cloud/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="openCloud" track-metadata-position="nav" > 	None	<a>	None
Open cloud 	None	open	None
</a>	</a>	</a>	</a>
<div class="devsite-nav-item-description"> 	None	<div>	None
Scale with open, flexible technology 	None	scale	None
</div>	None	</div>	None
</li>	</li>	</li>	</li>
<li class="devsite-nav-item">	<li class="devsite-doc-set-nav-tab-container devsite-nav-tab ">	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/customers/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="customersAndCaseStudies" track-metadata-position="nav" > 	<a href="https://cloud.google.com/about/locations/?hl=ko" class=" devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Tab: 정보" track-type="globalNav" track-name="about" style="display: none;" > 	<a>	<a>
Customers and case studies 	None	customers	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Learn how businesses use Google Cloud 	정보 	learn	정보
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/analyst-reports/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="analystReports" track-metadata-position="nav" > 	None	<a>	None
Analyst reports 	None	analyst	None
</a>	</a>	</a>	</a>
<div class="devsite-nav-item-description"> 	None	<div>	None
See how Google Cloud ranks 	None	see	None
</div>	None	</div>	None
</li>	</li>	</li>	</li>
</ul>	None	</ul>	None
</div>	None	</div>	None
<div class="devsite-dropdown-menu-column">	None	<div>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-x">	None	<ul>	None
<li class="devsite-nav-item">	<li class="devsite-doc-set-nav-tab-container devsite-nav-tab ">	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/" > 	<a href="https://cloud.google.com/why-google-cloud/?hl=ko" class=" devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Tab: Google을 사용해야 하는 이유" track-type="globalNav" track-name="whyGoogle" > 	<a>	<a>
close 	Google을 사용해야 하는 이유 	close	google을
</a>	</a>	</a>	</a>
</li>	</li>	</li>	</li>
</ul>	None	</ul>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-type2 cloud-dropdown-noheading">	None	<ul>	None
<li class="devsite-nav-item">	<li class="devsite-doc-set-nav-tab-container devsite-nav-tab ">	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/about/locations/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="dataCentersAndNetwork" track-metadata-position="nav" > 	<a href="https://cloud.google.com/products/?hl=ko" class=" devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Tab: 제품" track-type="globalNav" track-name="products" > 	<a>	<a>
Data centers and network 	None	data	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Build on the same infrastructure Google uses 	제품 	build	제품
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/blog/" track-type="navMenu" track-name="whyGoogle" track-metadata-eventDetail="googleCloudBlog" track-metadata-position="nav" > 	None	<a>	None
Google Cloud Blog 	None	google	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Read the latest stories and product updates 	None	read	None
</div>	None	</div>	None
</li>	None	</li>	None
</ul>	None	</ul>	None
</div>	None	</div>	None
</div>	None	</div>	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-doc-set-nav-tab-container devsite-nav-tab devsite-dropdown-menu-container">	None	<li>	None
<a href="https://cloud.google.com/solutions/" class=" devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Tab: Solutions" track-type="globalNav" track-name="solutions" track-metadata-position="nav" track-metadata-eventDetail="nav" > 	None	<a>	None
Solutions 	None	solutions	None
</a>	None	</a>	None
<span class="devsite-menu-toggle devsite-nav-tab material-icons">	None	<span>	None
</span>	None	</span>	None
<div class="devsite-dropdown-menu-wrapper devsite-dropdown-menu-full">	None	<div>	None
<div class="devsite-dropdown-menu">	None	<div>	None
<div class="devsite-dropdown-menu-column">	None	<div>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-type2">	None	<ul>	None
<li class="devsite-nav-item devsite-nav-item-heading">	None	<li>	None
<span class="devsite-nav-title devsite-nav-title-no-path"> 	None	<span>	None
By business need 	None	by	None
</span>	None	</span>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/ai/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="artificialIntelligenceSolutions" track-metadata-position="nav" > 	None	<a>	None
Artificial intelligence solutions 	None	artificial	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Pre-packaged and build-your-own AI 	None	pre	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/big-data/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="bigDataAnalytics" track-metadata-position="nav" > 	None	<a>	None
Big data analytics 	None	big	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Integrated, serverless analytics 	None	integrated	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/business-intelligence/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="businessIntelligence" track-metadata-position="nav" > 	None	<a>	None
Business intelligence 	None	business	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Make insights accessible 	None	make	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://gsuite.google.com/solutions/enterprise/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="collaborationAndProductivity" track-metadata-position="nav" > 	None	<a>	None
Collaboration and productivity 	None	collaboration	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Transform how teams work 	None	transform	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/continuous-delivery/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="continuousDelivery" track-metadata-position="nav" > 	None	<a>	None
Continuous delivery 	None	continuous	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Achieve end-to-end automation 	None	achieve	None
</div>	None	</div>	None
</li>	None	</li>	None
</ul>	None	</ul>	None
</div>	None	</div>	None
<div class="devsite-dropdown-menu-column">	None	<div>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-type2 cloud-dropdown-noheading">	None	<ul>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/chrome-enterprise/os/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="deviceManagement" track-metadata-position="nav" > 	None	<a>	None
Device management 	None	device	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Deploy and manage devices easily 	None	deploy	None
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/iot/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="internetOfThings" track-metadata-position="nav" > 	None	<a>	None
Internet of things 	None	internet	None
</a>	</a>	</a>	</a>
<div class="devsite-nav-item-description"> 	None	<div>	None
Unlock insights from your IoT network 	None	unlock	None
</div>	None	</div>	None
</li>	</li>	</li>	</li>
<li class="devsite-nav-item">	<li class="devsite-doc-set-nav-tab-container devsite-nav-tab ">	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/manage-hybrid-cloud/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="manageHybridCloud" track-metadata-position="nav" > 	<a href="https://cloud.google.com/solutions/?hl=ko" class=" devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Tab: 솔루션" track-type="globalNav" track-name="solutions" > 	<a>	<a>
Manage hybrid cloud 	None	manage	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Modernize in place with our open cloud 	솔루션 	modernize	솔루션
</div>	None	</div>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/migration-center/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="migrateWorkloads" track-metadata-position="nav" > 	None	<a>	None
Migrate workloads 	None	migrate	None
</a>	</a>	</a>	</a>
<div class="devsite-nav-item-description"> 	None	<div>	None
Choose your path to the cloud 	None	choose	None
</div>	None	</div>	None
</li>	</li>	</li>	</li>
<li class="devsite-nav-item">	<li class="devsite-doc-set-nav-tab-container devsite-nav-tab ">	<li>	<li>
<a class="devsite-nav-title" href="https://cloud.google.com/serverless/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="serverlessSolutions" track-metadata-position="nav" > 	<a href="https://cloud.google.com/launcher/?hl=ko" class=" devsite-nav-tab devsite-doc-set-nav-tab devsite-doc-set-nav-tab-link gc-analytics-event" data-category="Site-Wide Custom Events" data-label="Tab: 런처" track-type="globalNav" track-name="launcher" > 	<a>	<a>
Serverless solutions 	None	serverless	None
</a>	None	</a>	None
<div class="devsite-nav-item-description"> 	None	<div>	None
Free your developers to focus on writing 	런처 	free	런처
</div>	None	</div>	None
</li>	None	</li>	None
</ul>	None	</ul>	None
</div>	None	</div>	None
<div class="devsite-dropdown-menu-column">	None	<div>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-type2 cloud-dropdown-links-only">	None	<ul>	None
<li class="devsite-nav-item devsite-nav-item-heading">	None	<li>	None
<span class="devsite-nav-title devsite-nav-title-no-path"> 	None	<span>	None
By industry 	None	by	None
</span>	None	</span>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/education/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="education" track-metadata-position="nav" > 	None	<a>	None
Education 	None	education	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/energy/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="energy" track-metadata-position="nav" > 	None	<a>	None
Energy 	None	energy	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/financial-services/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="financialServices" track-metadata-position="nav" > 	None	<a>	None
Financial services 	None	financial	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/gaming/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="gaming" track-metadata-position="nav" > 	None	<a>	None
Gaming 	None	gaming	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/government/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="government" track-metadata-position="nav" > 	None	<a>	None
Government 	None	government	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/healthcare/" > 	None	<a>	None
Healthcare 	None	healthcare	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/life-sciences/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="healthcareAndLifeSciences" track-metadata-position="nav" > 	None	<a>	None
Life sciences 	None	life	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/media-entertainment/" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="mediaAndEntertainment" track-metadata-position="nav" > 	None	<a>	None
Media and entertainment 	None	media	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions/retail/" > 	None	<a>	None
Retail 	None	retail	None
</a>	None	</a>	None
</li>	None	</li>	None
</ul>	None	</ul>	None
</div>	None	</div>	None
<div class="devsite-dropdown-menu-column">	None	<div>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-x">	None	<ul>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/" > 	None	<a>	None
close 	None	close	None
</a>	None	</a>	None
</li>	None	</li>	None
</ul>	None	</ul>	None
<ul class="devsite-nav-list devsite-dropdown-menu-section cloud-dropdown-type2 cloud-dropdown-links-only">	None	<ul>	None
<li class="devsite-nav-item devsite-nav-item-heading">	None	<li>	None
<span class="devsite-nav-title devsite-nav-title-no-path"> 	None	<span>	None
By role 	None	by	None
</span>	None	</span>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions#customer-support-and-sales" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="customerSupportAndSales" track-metadata-position="nav" > 	None	<a>	None
Customer support and sales 	None	customer	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
<a class="devsite-nav-title" href="https://cloud.google.com/solutions#role-based-solutions-devops" track-type="navMenu" track-name="solutions" track-metadata-eventDetail="devOps" track-metadata-position="nav" > 	None	<a>	None
DevOps 	None	devops	None
</a>	None	</a>	None
</li>	None	</li>	None
<li class="devsite-nav-item">	None	<li>	None
